epoch,acc,loss,val_acc,val_loss
0,0.16495277,0.847540028730617,0.20164321,0.7578954100608826
1,0.2435805,0.6986674084237754,0.2794825,0.6576055397950306
2,0.3054291,0.6150869442605417,0.32652324,0.5989132656334596
3,0.3541902,0.5546243895534402,0.3653693,0.5536795429151911
4,0.39329204,0.5064105123551358,0.39419803,0.518672993995365
5,0.42487878,0.4666375305412041,0.41774863,0.4919022244492961
6,0.4527714,0.43272840267319573,0.4372722,0.4703097449991987
7,0.47828418,0.4032435500452158,0.45362198,0.45260635072394356
8,0.5011291,0.37675615686340136,0.4678135,0.4372120630864652
9,0.5227805,0.3530155912253712,0.4785764,0.4255355867542751
10,0.5423566,0.33154643634466735,0.48923606,0.4152131980101679
11,0.5606345,0.31207414065881656,0.4978216,0.40661095669541336
12,0.57741416,0.2943869344167228,0.5060226,0.39870188064834616
13,0.5936186,0.27845439382311904,0.5115086,0.39338313807477604
14,0.6087094,0.26370736229851516,0.51817954,0.3883157976241927
15,0.6236344,0.2503706178643571,0.5244082,0.3832940416014874
16,0.6373744,0.23813469991338515,0.52805585,0.38039867116688447
17,0.6510528,0.2270279827625292,0.5304582,0.3783990760078084
18,0.66385037,0.21659342597635103,0.5360854,0.37583251011803975
19,0.67690426,0.2067956633162221,0.5379332,0.37488893222623537
