epoch,acc,loss,val_acc,val_loss
0,0.16383319,0.8506392408620186,0.21074307,0.758755172781376
1,0.2561199,0.6942591826018202,0.29001912,0.6517409299321743
2,0.32104632,0.606184066305802,0.33567783,0.5916384687849895
3,0.36370564,0.5471609540929461,0.36863816,0.5485881790132721
4,0.39941874,0.50024709907417,0.39682895,0.5148804008651892
5,0.4302247,0.46118893891688617,0.41956487,0.4895167655740995
6,0.45681342,0.4283923233002617,0.43673867,0.4688626703820698
7,0.4806865,0.39997585293238097,0.4518906,0.45230185414225327
8,0.502364,0.37489730973678603,0.46566448,0.4377464274513907
9,0.5224712,0.35238427116522353,0.4763098,0.42654120551489794
10,0.5403742,0.3321567562156939,0.48621783,0.4168758598479582
11,0.55803716,0.3137031127764984,0.4944345,0.4084474324716805
12,0.5740522,0.296750082100656,0.50056607,0.402880507661271
13,0.5896109,0.28119106184002035,0.50821847,0.39668669022735537
14,0.6041866,0.2668817888024862,0.51325166,0.3921148699799968
15,0.61894524,0.25372106997346816,0.51920235,0.3873824681797176
16,0.633292,0.24132386173807172,0.52472776,0.38429734242085967
17,0.6471807,0.2300764618954714,0.52772576,0.3813904908345771
18,0.659614,0.21990681216988187,0.530611,0.3797493712117635
19,0.6717118,0.21049914415564297,0.533672,0.3777159723438747
20,0.6835891,0.20151763910579495,0.53469867,0.3774245469372507
21,0.6949658,0.19335026717124287,0.5352831,0.37740288196141236
22,0.70509756,0.1859226553938213,0.5391828,0.3753093398451188
23,0.7153774,0.1787976182197229,0.54145503,0.3757535289451866
24,0.72381836,0.17236680608787328,0.5404753,0.378186086993761
25,0.73261666,0.16641105627604938,0.54278344,0.3778659580130651
